SampleID	triplicates	Medium	Inoculation Mix	keySpecies
InoculumMix41	1	ino	4	- B. thetaiotaomicron
InoculumMix51	1	ino	5	- B. hansenii
InoculumMix61	1	ino	6	- C. ramosum
InoculumMix71	1	ino	7	- B. adolescentis
InoculumMix81	1	ino	8	- E. lenta
InoculumMix12	2	ino	1	- All
InoculumMix22	2	ino	2	- B. uniformis
InoculumMix32	2	ino	3	- B. fragilis
InoculumMix42	2	ino	4	- B. thetaiotaomicron
InoculumMix52	2	ino	5	- B. hansenii
InoculumMix62	2	ino	6	- C. ramosum
InoculumMix72	2	ino	7	- B. adolescentis
InoculumMix82	2	ino	8	- E. lenta
InoculumMix91	1	ino	9	- C. bolteae
InoculumMix101	1	ino	10	- C. saccharolyticum
InoculumMix111	1	ino	11	- S. salivarius
InoculumMix121	1	ino	12	- L. paracase
InoculumMix131	1	ino	13	- R. gnavus
InoculumMix141	1	ino	14	- C. comes
InoculumMix151	1	ino	15	- E. coli IAI1
InoculumMix161	1	ino	16	+ All
InoculumMix92	2	ino	9	- C. bolteae
InoculumMix102	2	ino	10	- C. saccharolyticum
InoculumMix112	2	ino	11	- S. salivarius
InoculumMix122	2	ino	12	- L. paracase
InoculumMix132	2	ino	13	- R. gnavus
InoculumMix142	2	ino	14	- C. comes
InoculumMix152	2	ino	15	- E. coli IAI1
InoculumMix162	2	ino	16	+ All
InoculumMix171	1	ino	17	+ C. perfringens
InoculumMix181	1	ino	18	+ B. dorei
InoculumMix191	1	ino	19	+ B. eggerthii
InoculumMix201	1	ino	20	+ B. clarus
InoculumMix211	1	ino	21	+ E. limosum
InoculumMix221	1	ino	22	+ S. parasanguinis
InoculumMix231	1	ino	23	+ C. aerofaciens
InoculumMix241	1	ino	24	+ P. distasonis
InoculumMix172	2	ino	17	+ C. perfringens
InoculumMix182	2	ino	18	+ B. dorei
InoculumMix192	2	ino	19	+ B. eggerthii
InoculumMix202	2	ino	20	+ B. clarus
InoculumMix212	2	ino	21	+ E. limosum
InoculumMix222	2	ino	22	+ S. parasanguinis
InoculumMix232	2	ino	23	+ C. aerofaciens
InoculumMix242	2	ino	24	+ P. distasonis
InoculumMix251	1	ino	25	+ E. eligens
InoculumMix261	1	ino	26	+ D. formicigenerans
InoculumMix271	1	ino	27	+ R. hominis
InoculumMix281	1	ino	28	+ L. plantarum
InoculumMix252	2	ino	25	+ E. eligens
InoculumMix262	2	ino	26	+ D. formicigenerans
InoculumMix272	2	ino	27	+ R. hominis
InoculumMix282	2	ino	28	+ L. plantarum
